,ADANA,ADIYAMAN,AFYON,A?RI,AMASYA,ANKARA,ANTALYA,ARTV?N,AYDIN,BALIKES?R,B?LEC?K,B?NGÖL,B?TL?S,BOLU,BURDUR,BURSA,ÇANAKKALE,ÇANKIRI,ÇORUM,DEN?ZL?,D?YARBAKIR,ED?RNE,ELAZI?,ERZ?NCAN,ERZURUM,ESK??EH?R,GAZ?ANTEP,G?RESUN,GÜMÜ?HANE,HAKKAR?,HATAY,ISPARTA,MERS?N,?STANBUL,?ZM?R,KARS,KASTAMONU,KAYSER?,KIRKLAREL?,KIR?EH?R,KOCAEL?,KONYA,KÜTAHYA,MALATYA,MAN?SA,KAHRAMANMARA?,MARD?N,MU?LA,MU?,NEV?EH?R,N??DE,ORDU,R?ZE,SAKARYA,SAMSUN,S??RT,S?NOP,S?VAS,TEK?RDA?,TOKAT,TRABZON,TUNCEL?,?ANLIURFA,U?AK,VAN,YOZGAT,ZONGULDAK,AKSARAY,BAYBURT,KARAMAN,KIRIKKALE,BATMAN,?IRNAK,BARTIN,ARDAHAN,I?DIR,YALOVA,KARABÜK,K?L?S,OSMAN?YE,DÜZCE
?ZM?R,900,1229,327,1631,913,579,444,1559,126,173,417,1429,1622,595,374,322,325,710,821,224,1418,533,1287,1261,1450,411,1105,1189,1331,1800,1091,382,892,561,,1650,824,848,550,752,450,550,333,1189,36,1085,1430,225,1539,767,786,1145,1400,481,993,1601,993,1019,505,957,1326,1391,1242,211,1762,795,664,692,1353,663,654,1514,1611,753,1668,1741,387,729,1142,985,550
KARS,1007,732,1327,217,754,1071,1448,210,1661,1587,1376,383,432,1163,1444,1436,1707,1002,846,1538,527,1655,521,389,203,1304,840,566,403,567,998,1394,1076,1425,1650,,1006,830,1636,960,1314,1134,1382,619,1634,842,622,1683,349,911,958,610,361,1277,762,529,925,635,1557,693,435,443,703,1439,365,859,1240,986,325,1133,996,567,624,1187,93,140,1379,1120,899,922,1208
KASTAMONU,690,888,501,987,252,245,789,864,843,672,461,888,1081,248,667,521,792,114,195,720,954,740,801,617,806,478,815,494,657,1393,881,666,683,510,824,1006,,462,721,328,399,503,556,721,807,735,1049,865,998,419,501,450,705,362,298,1141,183,474,642,366,631,747,952,613,1219,295,270,425,709,614,219,1054,1236,181,973,1097,464,114,874,775,293
KAYSER?,333,437,521,811,348,318,618,848,831,840,620,581,774,509,614,689,960,348,277,708,592,1001,439,441,630,540,353,493,552,1048,449,564,326,771,848,830,462,,982,134,660,304,618,341,832,273,678,853,691,81,128,484,692,623,449,779,544,195,903,265,618,571,490,637,914,175,586,156,574,303,247,692,859,601,852,921,725,533,412,373,554
KIRKLAREL?,1150,1419,663,1617,882,664,927,1511,674,425,458,1518,1711,473,805,436,233,708,825,713,1574,62,1421,1247,1436,533,1335,1141,1304,2023,1341,804,1143,211,550,1636,721,982,,848,322,871,563,1323,560,1255,1660,773,1628,939,1008,1097,1352,359,945,1761,893,1104,121,996,1278,1377,1472,650,1849,880,542,885,1339,984,739,1674,1841,631,1620,1727,387,607,1392,1235,428
KIR?EH?R,375,571,429,941,308,184,572,952,771,706,486,715,908,375,568,555,826,214,216,648,726,867,573,571,760,406,487,582,682,1182,566,518,368,637,752,960,328,134,848,,526,258,484,475,736,407,812,793,825,91,173,538,793,489,388,913,483,325,769,319,719,701,624,541,1048,112,452,110,704,320,113,826,993,467,982,1051,591,399,546,460,420
KOCAEL?,828,1097,341,1295,560,342,605,1189,570,279,136,1196,1389,151,483,132,399,386,503,526,1252,341,1099,925,1114,211,1013,819,982,1701,1019,482,821,111,450,1314,399,660,322,526,,549,241,1001,414,933,1338,669,1306,617,686,775,1030,37,623,1439,571,782,243,674,956,1055,1150,380,1527,558,220,563,1017,662,417,1352,1519,309,1298,1405,65,285,1070,913,106
KONYA,356,685,223,1115,560,258,322,1152,533,547,418,885,1078,445,315,487,747,389,468,410,874,890,743,745,934,338,561,797,856,1256,547,264,348,660,550,1134,503,304,871,258,549,,323,645,534,541,886,555,995,223,242,781,996,512,640,1057,672,499,792,562,922,875,698,339,1218,370,522,148,878,119,301,970,1067,537,1156,1225,547,469,598,441,490
KÜTAHYA,673,1002,100,1363,645,311,364,1291,408,224,110,1199,1392,318,242,173,424,442,553,285,1191,582,1057,993,1182,78,878,921,1063,1573,864,241,665,352,333,1382,556,618,563,484,241,323,,959,317,858,1203,430,1309,540,559,877,1132,204,725,1374,725,751,484,689,1058,1123,1015,139,1532,527,387,465,1085,436,386,1287,1384,476,1400,1473,239,452,915,758,273
MALATYA,388,185,862,595,469,659,946,642,1172,1181,961,240,433,850,955,1030,1301,689,533,1049,251,1342,98,363,416,881,247,545,494,722,379,905,457,1112,1189,619,721,341,1323,475,1001,645,959,,1173,223,346,1194,350,422,469,561,668,964,585,438,727,247,1244,355,594,233,269,978,573,471,927,497,493,644,588,351,533,902,646,710,1066,835,306,303,895
MAN?SA,884,1213,311,1615,897,563,428,1543,156,137,381,1413,1606,559,358,286,335,694,805,208,1402,543,1271,1245,1434,395,1089,1173,1315,1784,1075,366,876,525,36,1634,807,832,560,736,414,534,317,1173,,1069,1414,255,1523,751,770,1129,1384,445,977,1585,977,1003,515,941,1310,1375,1226,195,1746,779,628,676,1337,647,638,1498,1595,717,1652,1725,351,693,1126,969,514
KAHRAMANMARA?,185,164,758,812,529,591,743,865,1068,1082,893,463,578,782,851,962,1233,621,550,945,369,1274,321,586,639,813,80,643,702,775,176,801,254,1044,1085,842,735,273,1255,407,933,541,858,223,1069,,405,1054,573,354,390,634,842,896,645,552,787,345,1176,415,768,456,217,874,746,448,859,429,716,474,520,465,586,874,869,915,998,806,139,100,827
MARD?N,530,296,1103,518,797,996,1088,645,1413,1427,1298,239,284,1187,1196,1367,1627,1017,861,1290,95,1679,248,501,419,1218,325,785,622,393,521,1146,599,1449,1430,622,1049,678,1660,812,1338,886,1203,346,1414,405,,1399,353,759,735,824,796,1301,913,230,1055,575,1581,683,722,371,188,1219,452,799,1264,795,544,819,925,149,204,1230,649,621,1403,1163,384,445,1232
MU?LA,869,1198,368,1664,954,620,311,1600,99,392,540,1434,1596,748,241,541,548,751,862,145,1387,756,1292,1294,1483,500,1074,1230,1372,1769,1060,292,800,780,225,1683,865,853,773,793,669,555,430,1194,255,1054,1399,,1544,772,791,1186,1441,634,1034,1570,1034,1048,728,998,1367,1424,1211,295,1764,836,817,697,1394,662,695,1483,1580,879,1705,1774,606,811,1111,954,703
MU?,738,463,1212,245,746,1009,1296,479,1522,1531,1311,114,83,1155,1305,1380,1651,994,838,1399,258,1647,252,381,266,1231,571,629,466,395,729,1255,807,1417,1539,349,998,691,1628,825,1306,995,1309,350,1523,573,353,1544,,772,819,673,630,1269,825,180,978,579,1549,685,566,251,434,1328,223,803,1232,847,388,994,938,218,275,1179,408,388,1371,1112,630,653,1200
NEV?EH?R,287,518,440,892,363,275,537,929,750,764,577,662,855,466,533,646,917,305,292,627,673,958,520,522,711,497,434,574,633,1129,478,483,280,728,767,911,419,81,939,91,617,223,540,422,751,354,759,772,772,,82,558,773,580,464,860,559,276,860,339,699,652,571,556,995,190,543,75,655,257,204,773,940,558,933,1002,682,490,493,372,511
